ID,Report,Stress,Happy,Sad,Nervous,Angry,Close,Annoyed,AnnoyedExpressed,partner,NanPercent,scl,nscrs.01,fscrs.01,amp.01,ActCount,BodyTemp,nscrs.02,fscrs.02,amp.02,IBI,BPM,HRV,AllWC,AllAnalytic,AllClout,AllAuthentic,AllTone,AllSixltr,AllDic,AllFunct,AllPronoun,AllPpron,AllI,AllWe,AllYou,AllShehe,AllThey,AllIpron,AllArticle,AllPreps,AllAuxverb,AllAdverb,AllConj,AllNegate,AllVerb,AllAdj,AllCompare,AllInterrog,AllNumber,AllQuant,AllAffect,AllPosemo,AllNegemo,AllAnx,AllAnger,AllSad,AllSocial,AllFamily,AllFriend,AllFemale,AllMale,AllCogproc,AllInsight,AllCause,AllDiscrep,AllTentat,AllCertain,AllDiffer,AllPercept,AllSee,AllHear,AllFeel,AllBio,AllBody,AllHealth,AllSexual,AllIngest,AllDrives,AllAffiliation,AllAchieve,AllPower,AllReward,AllRisk,AllWork,AllLeisure,AllHome,AllMoney,AllRelig,AllDeath,AllInformal,AllSwear,AllNetspeak,AllAssent,AllNonfl,AllFiller,AllIOnly,AllMeOnly,PitchMean,PitchMedian,PitchSD,PitchMin,PitchMax,PitchRange,LoudMean,LoudMedian,LoudSD,LoudMax
102,11,0,45,0,20,0,60,0,,1,0,1.9141,12,0.2,0.864,165.1293,90.9745,11,0.1833,0.9412,805.2219717,75.50044667,351.017625,75,4.99,65.56,14.56,91.14,6.67,96,62.67,22.67,17.33,8,0,9.33,0,0,5.33,6.67,6.67,10.67,10.67,8,5.33,24,4,2.67,6.67,1.33,1.33,12,8,4,1.33,2.67,0,10.67,0,0,0,0,18.67,1.33,6.67,4,2.67,2.67,1.33,0,0,0,0,2.67,1.33,0,0,1.33,2.67,0,1.33,0,1.33,0,2.67,1.33,0,0,0,0,8,1.33,0,4,1.33,1.33,5.48,2.74,252.2326,234.0371,83.9157,115.6872,611.3992,495.712,0.6339,0.4906,0.5965,4.6616
102,11,0,60,0,0,0,80,0,0,2,0,18.9012,56,0.9333,0.6748,166.3,94.6847,56,0.9333,0.6748,868.6362183,69.59725333,332.6269683,50,3.71,96.38,12.17,91.14,10,100,58,26,20,6,4,10,0,0,6,4,6,16,6,0,8,30,0,0,4,4,0,4,4,0,0,0,0,18,0,0,0,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,2,0,0,0,24,0,0,14,10,0,6,0,227.4624,190.9518,111.0978,93.1436,614.2403,521.0967,1.0013,0.9285,0.6011,4.7684
102,12,0,50,10,10,0,60,0,0,1,0,0.6975,17,0.2833,0.0351,165.0939,91.0041,10,0.1667,0.0504,885.609495,68.88229667,403.58272,39,1,97.98,30.55,73.64,5.13,97.44,64.1,38.46,20.51,7.69,0,10.26,2.56,0,17.95,2.56,2.56,10.26,5.13,2.56,2.56,28.21,0,0,12.82,0,0,2.56,2.56,0,0,0,0,23.08,0,0,0,2.56,7.69,2.56,2.56,0,2.56,0,2.56,5.13,2.56,2.56,0,0,0,0,0,0,5.13,0,0,0,5.13,0,0,0,0,0,0,0,7.69,0,0,2.56,0,2.56,2.56,2.56,245.2778,246.2699,44.9252,138.1638,418.6166,280.4528,0.6223,0.5764,0.3362,1.3515
102,12,0,55,0,0,0,80,0,0,2,0.742268041,18.867,44,0.7333,0.7909,166.3549,92.63,43,0.7167,0.809,962.4534683,63.01475667,380.6692917,19,3.71,96.38,12.17,91.14,10,100,58,26,20,6,4,10,0,0,6,4,6,16,6,0,8,30,0,0,4,4,0,4,4,0,0,0,0,18,0,0,0,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,2,0,0,0,24,0,0,14,10,0,5.26,0,255.6831,234.3819,96.7886,95.0669,583.5391,488.4722,0.7967,0.6787,0.5622,4.2613
102,13,0,20,40,30,10,20,0,,1,0.103092784,0.8394,6,0.1,0.2218,165.1013,91.7582,2,0.0333,0.637,861.7750167,70.05175,354.6852283,54,26.77,82.28,15.12,25.77,11.11,88.89,64.81,24.07,12.96,5.56,5.56,0,0,1.85,11.11,3.7,14.81,11.11,1.85,11.11,0,16.67,0,7.41,0,1.85,0,0,0,0,0,0,0,9.26,0,0,0,0,3.7,1.85,0,0,0,1.85,0,5.56,3.7,1.85,0,1.85,1.85,0,0,0,7.41,5.56,0,0,1.85,0,1.85,1.85,0,0,0,0,3.7,0,0,0,1.85,1.85,5.56,0,245.2778,246.2699,44.9252,138.1638,418.6166,280.4528,0.6223,0.5764,0.3362,1.3515
102,13,0,50,0,0,0,80,0,0,2,0.742268041,19.7321,43,0.7167,0.9351,166.3582,92.1678,41,0.6833,0.9802,1023.750558,59.25883833,433.3944133,11,15.7,48.17666667,23.94833333,30.505,7.461666667,97.46333333,57.095,27.125,14.74166667,6.403333333,1.196666667,4.756666667,2.193333333,0.196666667,12.38333333,4.528333333,7.68,14.45833333,4.036666667,2.001666667,7.045,24.97166667,2.82,1.103333333,3.73,2.163333333,0.328333333,3.951666667,1.725,2.226666667,0,0.523333333,0.328333333,10.935,0,0.396666667,0.593333333,1.996666667,11.465,2.593333333,0.396666667,2.618333333,2.93,0.286666667,3.498333333,2.428333333,0.891666667,0.62,0.915,2.515,1.273333333,0.915,0.196666667,0.811666667,4.62,1.196666667,2.03,0.605,0.656666667,0.131666667,0.62,0.823333333,0.333333333,0.333333333,0,0,17.45333333,0.523333333,0.391666667,8.301666667,7.561666667,1.065,0,0,301.4937,292.6562,103.8133,120.1609,601.4766,481.3157,1.1221,0.9645,0.7335,4.3375
102,14,,40,30,35,5,50,25,1,1,0.845360825,0.8981,11,0.1833,0.0594,165.0981,90.1537,5,0.0833,0.114,845.8771217,71.47984333,377.199545,5,26.77,82.28,15.12,25.77,11.11,88.89,64.81,24.07,12.96,5.56,5.56,0,0,1.85,11.11,3.7,14.81,11.11,1.85,11.11,0,16.67,0,7.41,0,1.85,0,0,0,0,0,0,0,9.26,0,0,0,0,3.7,1.85,0,0,0,1.85,0,5.56,3.7,1.85,0,1.85,1.85,0,0,0,7.41,5.56,0,0,1.85,0,1.85,1.85,0,0,0,0,3.7,0,0,0,1.85,1.85,20,0,265.7449,253.6324091,83.96911818,109.6306364,572.3553727,462.7247364,0.966045455,0.784372727,0.762136364,4.759454545
102,14,0,55,0,0,0,80,0,0,2,0.742268041,16.2969,44,0.7333,0.536,166.3008,92.6457,43,0.7167,0.5481,892.35502,68.067365,336.7674383,6,15.7,48.17666667,23.94833333,30.505,7.461666667,97.46333333,57.095,27.125,14.74166667,6.403333333,1.196666667,4.756666667,2.193333333,0.196666667,12.38333333,4.528333333,7.68,14.45833333,4.036666667,2.001666667,7.045,24.97166667,2.82,1.103333333,3.73,2.163333333,0.328333333,3.951666667,1.725,2.226666667,0,0.523333333,0.328333333,10.935,0,0.396666667,0.593333333,1.996666667,11.465,2.593333333,0.396666667,2.618333333,2.93,0.286666667,3.498333333,2.428333333,0.891666667,0.62,0.915,2.515,1.273333333,0.915,0.196666667,0.811666667,4.62,1.196666667,2.03,0.605,0.656666667,0.131666667,0.62,0.823333333,0.333333333,0.333333333,0,0,17.45333333,0.523333333,0.391666667,8.301666667,7.561666667,1.065,0,16.67,264.2253,220.9298,123.3402,102.0657,610.1545,508.0888,1.0851,0.9307,0.7829,5.198
104,1,0,90,10,0,0,90,5,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,1,0,50,0,0,0,50,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
